player_id,friend_player_id,event_date_time
52E2148A330F862694B2261AECE1B6506AA542CB6D0020870CCE3A1312B6F340,618b2dbb4ba864dcd156bfe9fd30f6746d4eb832f3aff43943ef2a1f18af98be,2020-09-10 19:56:45
09FE46CA47BE05CC75351E52994559186AA542CB6D0020870CCE3A1312B6F340,4404ad35afa89272625c406e2c800b8b1f2604dc504fdd43c1241018ab2734c6,2020-09-13 19:50:39
1D2EF51CF8489844CB30704210EECAA76AA542CB6D0020870CCE3A1312B6F340,03e9dfa5bff8b06021f4114adf0c1b1764397d45da9ee54887d10391054fc416,2020-09-09 22:35:27
EC56BBCD257434BE7F647B82888821A16AA542CB6D0020870CCE3A1312B6F340,a7633f7bdf0dff7ab6a26dffe9bb6039d30e0099530794fe45a5818c65e0a5aa,2020-09-13 03:24:28
A094DE2E0FA94FDFC8B9C970A06193526AA542CB6D0020870CCE3A1312B6F340,5ea125f30d5fae686f073ca65e4e6c32c93a3629aec7e31303521f70ce899ec8,2020-09-16 01:39:32
1D2EF51CF8489844CB30704210EECAA76AA542CB6D0020870CCE3A1312B6F340,ff8f432ba0ade0e80509866c860df2ebf71858251f0faca395892e7b9721205f,2020-09-17 17:32:55
1D2EF51CF8489844CB30704210EECAA76AA542CB6D0020870CCE3A1312B6F340,4717ebde737ca9052fc40f97909b47fab28daf49bce55e344a7b1fd5a082e2da,2020-09-14 00:04:54
F52EEF3F930D84C7FDA288E1D48726B26AA542CB6D0020870CCE3A1312B6F340,0db02c50013da4f854a41f7ce606896035e389fd2945a5a47aad9c2eeb3f4eda,2020-09-13 13:50:26
1D2EF51CF8489844CB30704210EECAA76AA542CB6D0020870CCE3A1312B6F340,0ef6e96c6e38b8028e114d4659aa4af7b978150074fc837d451a2abd02fe0f00,2020-09-10 23:29:13
9E39C04C19D092E9493A0BFA62690D086AA542CB6D0020870CCE3A1312B6F340,248e005665a0dfaf7424b2b880595b18bae9ef25503cef02d9e1c8a7e2d6f36b,2020-09-22 01:15:55
52E2148A330F862694B2261AECE1B6506AA542CB6D0020870CCE3A1312B6F340,fd3028ce5187279c85467c469e79adf0fffead63c014797512b9d267421b7e83,2020-09-15 18:13:15
830FC05B863415D02C5362906313999A6AA542CB6D0020870CCE3A1312B6F340,394b146e9dd8a7f145351f35fb3179cd629e5562082ea9d033a71ffe78c16b5b,2020-09-23 19:18:37
DC11EF6A89C3F7702AE720DCE5E73E9E6AA542CB6D0020870CCE3A1312B6F340,258a9d7bc294620c2ba5eed0152543d26fcc9ffcb309114129ad90d821b046d9,2020-09-11 20:09:48
1D2EF51CF8489844CB30704210EECAA76AA542CB6D0020870CCE3A1312B6F340,8c38b53a8426e3c6bbf2fd8dbe4df0d73b49ab088b9cc4295a4c8f15c6dd26ef,2020-09-10 23:29:13
52E2148A330F862694B2261AECE1B6506AA542CB6D0020870CCE3A1312B6F340,cb3618be986cea928a02c41f48aefb63be42e1202b4f91122463300788358fd5,2020-09-10 19:56:45
F52EEF3F930D84C7FDA288E1D48726B26AA542CB6D0020870CCE3A1312B6F340,15600bf0819d93055eb34223ff2e8fdc7af35a03d6f5814146a0734e753ace1a,2020-09-17 21:26:48
D1F4B5004B32FD1AB9CFF0FB966591C06AA542CB6D0020870CCE3A1312B6F340,78a5bcad56bb7fa4a5bb82a161adb0fe29f196f0e75b22586b0eaa36f7ec9267,2020-09-22 22:00:30
561269228AA07714A0E7CD388EF882286AA542CB6D0020870CCE3A1312B6F340,7ab463efbfa473ceae8702992194a161200d693ded4055c2beab8f459cc4546a,2020-09-09 22:32:03
E7EE5D3D1CA29E802CA6720ADA170EEF6AA542CB6D0020870CCE3A1312B6F340,408aaaf63a297eebd83af424dd9588f6bac355cc6cfa7f7132bd8a23e1799b04,2020-09-20 18:29:27
830FC05B863415D02C5362906313999A6AA542CB6D0020870CCE3A1312B6F340,e8bddc01f22ea7af3746f1864a869404e57654ff2662ec763db652fc662a7383,2020-09-19 19:30:18
830FC05B863415D02C5362906313999A6AA542CB6D0020870CCE3A1312B6F340,89da2f7ecaa14a7d7779ec18116402ae3b60145ebec65e17c2448d96c4e93f22,2020-09-23 17:40:22
